uniq_id,brand_name,category,product_title,mrp,price,rating,rating_count,source_snapshot,,,,
4970783,Kay Beauty,Kay Beauty Products Online,Kay Beauty Lip & Cheek Combo,1598,1358,4.8,6,2022_popular_brands,,,,
626907,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail Nourish Nail Enamel Polish,225,169,4.3,22495,2022_popular_brands,,,,
692836,Kay Beauty,Kay Beauty Products Online,Kay Beauty Quick Dry Liquid Eyeliner,499,399,4.4,9552,2022_popular_brands,,,,
4970778,Kay Beauty,Kay Beauty Products Online,Kay Beauty Glittery Glam Nails Look With Kay Beauty Nail Enamel Nail Polish,474,356,4.7,9,2022_popular_brands,,,,
6583638,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil,599,599,4.4,606,2022_popular_brands,,,,
766520,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte HD Setting Loose Powder,799,599,4.5,4997,2022_popular_brands,,,,
573572,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Action Lip Liner,550,413,4.5,5372,2022_popular_brands,,,,
654428,Kay Beauty,Kay Beauty Products Online,Kay Beauty Contour Stick,599,509,4.3,5927,2022_popular_brands,,,,
5722072,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector,799,679,4.4,565,2022_popular_brands,,,,
598027,Kay Beauty,Kay Beauty Products Online,Kay Beauty Metallic Eyeshadow Stick Pencil,599,449,4.5,7879,2022_popular_brands,,,,
766529,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Translucent Loose Powder - White,799,719,4.5,1497,2022_popular_brands,,,,
834303,Kay Beauty,Kay Beauty Products Online,Kay Beauty Illuminating Highlighter,799,639,4.1,3242,2022_popular_brands,,,,
573592,Kay Beauty,Kay Beauty Products Online,Kay Beauty Smudgeproof Jet Black Gel Kajal - Onyx,450,405,4.3,2926,2022_popular_brands,,,,
1503306,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Orange,799,799,4.4,566,2022_popular_brands,,,,
1375804,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Blue,599,599,4.4,606,2022_popular_brands,,,,
772963,Kay Beauty,Kay Beauty Products Online,Kay Beauty Contour & Highlight Pro Palette - Contour Genius,1099,989,4.2,551,2022_popular_brands,,,,
595538,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Eyeshadow Stick Pencil,599,479,4.4,2499,2022_popular_brands,,,,
1503307,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Peach,799,799,4.4,566,2022_popular_brands,,,,
1375805,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Bronze,599,599,4.4,606,2022_popular_brands,,,,
1375803,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Olive,599,599,4.4,606,2022_popular_brands,,,,
573596,Kay Beauty,Kay Beauty Products Online,Kay Beauty Waterproof Smokey Kajal with Smudger - Raven Hue,599,539,4.4,1859,2022_popular_brands,,,,
654419,Kay Beauty,Kay Beauty Products Online,Kay Beauty Colour Corrector Stick,599,449,3.9,2608,2022_popular_brands,,,,
1375807,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Green,599,599,4.4,606,2022_popular_brands,,,,
832701,Kay Beauty,Kay Beauty Products Online,Kay Beauty Kajal Combo (Pack of 2),498,498,4.5,14948,2022_popular_brands,,,,
1504842,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail Nourish Glitter Pastel Nail Enamel Polish,249,199,4.5,915,2022_popular_brands,,,,
1375808,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Rose Gold,599,599,4.4,606,2022_popular_brands,,,,
1375806,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Silver,599,599,4.4,606,2022_popular_brands,,,,
2783913,Kay Beauty,Kay Beauty Products Online,Kay Beauty Insta Ready Combo - Matte Lip Crayon- Wee Hours & Ultra Black Volume & Length Mascara,1598,1398,4.5,1766,2022_popular_brands,,,,
573588,Kay Beauty,Kay Beauty Products Online,Kay Beauty Eyebrow Enhancer Pencil,599,479,4.4,1196,2022_popular_brands,,,,
3922634,Kay Beauty,Kay Beauty Products Online,Kay Beauty Kat's Signature Eye Look- 24hr Kajal + Liquid Eyeliner,748,748,4.5,14814,2022_popular_brands,,,,
576468,Kay Beauty,Kay Beauty Products Online,Kay Beauty Pencil Cosmetic Sharpener,199,169,4.2,439,2022_popular_brands,,,,
1375802,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Gold,599,599,4.4,606,2022_popular_brands,,,,
1503310,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Green,799,679,4.4,566,2022_popular_brands,,,,
2693039,Kay Beauty,Kay Beauty Products Online,Kay Beauty Bridal Look -Blush+Highlighter+Eyeshadow Palette+Liquid Eyeliner+Mascara+Matte Lipstick,5094,4075,4.5,1776,2022_popular_brands,,,,
5476470,Kay Beauty,Kay Beauty Products Online,Kay Beauty Katrina's Iconic Eye Duo,998,923,4.3,40,2022_popular_brands,,,,
5125109,Kay Beauty,Kay Beauty Products Online,Kay Beauty Ombre Blush Look Duo,1598,1358,4.6,8,2022_popular_brands,,,,
576469,Kay Beauty,Kay Beauty Products Online,Kay Beauty Chubby Cosmetic Sharpener,225,191,4.3,491,2022_popular_brands,,,,
1503308,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Yellow,799,799,4.4,566,2022_popular_brands,,,,
6599370,Kay Beauty,Kay Beauty Products Online,Kay Beauty Island Vibes Combo - Gel Eye Pencils In Blue & Green,1198,1018,4,1,2022_popular_brands,,,,
4519294,Kay Beauty,Kay Beauty Products Online,Kay Beauty Subtle Glam Look - HD Liquid Concealer & Hydrating Foundation,1999,1699,4.7,13,2022_popular_brands,,,,
2809492,Kay Beauty,Kay Beauty Products Online,Kay Beauty Pastel Crush Nail Enamel Combo- Tender Lavender + Aspire + Pink Gem,675,574,3.9,40,2022_popular_brands,,,,
5125111,Kay Beauty,Kay Beauty Products Online,Kay Beauty Sculpted Look- Creme Blush + Contour Stick,1398,1188,5,7,2022_popular_brands,,,,
3621133,Kay Beauty,Kay Beauty Products Online,Kay Beauty Statement look With Lip Liner - Vanity & Matte Lipstick - Rehearsal,1549,1317,4.7,10,2022_popular_brands,,,,
2783910,Kay Beauty,Kay Beauty Products Online,Kay Beauty Define Your Eyes Combo - Liquid Eyeliner + Gel Kajal + Volume & Length Mascara,1748,1583,4.3,4698,2022_popular_brands,,,,
5738818,Kay Beauty,Kay Beauty Products Online,Kay Beauty Correct & Contour Duo - HD Liquid Colour Corrector + Contour Stick,1398,1188,4.2,14,2022_popular_brands,,,,
2809491,Kay Beauty,Kay Beauty Products Online,Kay Beauty Bold Nails Nail Enamel Combo,675,540,4.9,9,2022_popular_brands,,,,
2783912,Kay Beauty,Kay Beauty Products Online,Kay Beauty Blush & Glow Combo,1598,1318,4.3,7,2022_popular_brands,,,,
2783908,Kay Beauty,Kay Beauty Products Online,All About Matte With Kay Beauty Long Stay Matte Lipsticks - Suspense & Wrap Up,1998,1748,4.8,10,2022_popular_brands,,,,
2783919,Kay Beauty,Kay Beauty Products Online,Kay Beauty Eyes On Point Combo - Ultra Black Volume & Length Mascara & Waterproof 24 Hour Kajal,1048,928,4.5,16560,2022_popular_brands,,,,
4970779,Kay Beauty,Kay Beauty Products Online,Kay Beauty Pretty Pastel Nail Look With Kay Beauty Nail Enamel Nail Polish,675,506,4.8,4,2022_popular_brands,,,,
3772413,Kay Beauty,Kay Beauty Products Online,"Kay Beauty Katrina's Dreamy Look - Matte Lipstick, Nail Polish, 24 Hr Kajal & Liquid Eyeliner",1972,1578,4.5,14798,2022_popular_brands,,,,
766530,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Illuminating Highlighter Loose Powder - Classic Gold,799,639,4.3,170,2022_popular_brands,,,,
2809490,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nude Nail Enamel Combo- Whiplash + Nutty + Sun Glory,675,540,4.5,16,2022_popular_brands,,,,
2693045,Kay Beauty,Kay Beauty Products Online,Kay Beauty Forever Fabulous Combo - Matte Blush + Highlighter + Eyeshadow Palette + Eyeliner,3296,2802,4.7,7,2022_popular_brands,,,,
5738812,Kay Beauty,Kay Beauty Products Online,Kay Beauty Ditch Your Dark Circles Duo - HD Liquid Colour Corrector + HD Liquid Concealer,1598,1358,4.7,3,2022_popular_brands,,,,
1503309,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Lavender,799,799,4.4,566,2022_popular_brands,,,,
2713759,Kay Beauty,Kay Beauty Products Online,Lip Liner - Hype + Matte Lipstick - Thriller,1549,1317,4.8,10,2022_popular_brands,,,,
6599373,Kay Beauty,Kay Beauty Products Online,Kay Beauty Midnight Glam Combo - Gel Eye Pencils In Blue & Silver,1198,1018,4.3,6,2022_popular_brands,,,,
4519301,Kay Beauty,Kay Beauty Products Online,Kay Beauty Conceal & Cover With HD Liquid Concealer & Matte Compact,1598,1358,5,6,2022_popular_brands,,,,
5738817,Kay Beauty,Kay Beauty Products Online,Kay Beauty Base Perfection Duo - HD Liquid Colour Corrector + Hydrating Foundation,1999,1499,4.8,4,2022_popular_brands,,,,
5738816,Kay Beauty,Kay Beauty Products Online,Kay Beauty Instant Brighten Duo -HD Liquid Colour Corrector + Hydrating Foundation,1999,1499,4.8,4,2022_popular_brands,,,,
4519292,Kay Beauty,Kay Beauty Products Online,Kay Beauty Conceal & Contour- HD Liquid Concealer & Contour Stick,1398,1188,4.2,16,2022_popular_brands,,,,
2662791,Kay Beauty,Kay Beauty Products Online,Kay Beauty All Day MakeUp Combo,2248,1798,4.5,14804,2022_popular_brands,,,,
5125112,Kay Beauty,Kay Beauty Products Online,Kay Beauty Conceal & Color Combo- HD Liquid Concealer + Creme Blush,1598,1358,4.8,5,2022_popular_brands,,,,
3772416,Kay Beauty,Kay Beauty Products Online,Katrina's Favourite Nail Shades,474,379,4.8,6,2022_popular_brands,,,,
5125108,Kay Beauty,Kay Beauty Products Online,Kay Beauty Natural Glowy Look- Creme Blush + Matte Lipstick,1798,1349,5,2,2022_popular_brands,,,,
3772404,Kay Beauty,Kay Beauty Products Online,"Kat's Brunch Look - Kay Beauty Matte Lip Crayon, Liquid Eyeliner & 24 Hr Kajal",1547,1315,4.5,14819,2022_popular_brands,,,,
2783927,Kay Beauty,Kay Beauty Products Online,Kay Beauty Must Have Nudes - Matte Lip Crayon - Wee Hours & Nail Enamel - Whiplash,1024,910,4.3,7,2022_popular_brands,,,,
5125113,Kay Beauty,Kay Beauty Products Online,Kay Beauty Sunkissed Look- Color Correcting Primer + Creme Blush,1598,1358,5,1,2022_popular_brands,,,,
2783911,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matteinee Matte Lip Crayon Lipstick Combo - Rom Com & Wee Hours,1598,1438,4.1,15,2022_popular_brands,,,,
2809496,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail Nourish Nail Emanel Combo - Carnival & Wine Berry,450,360,4,1,2022_popular_brands,,,,
4519290,Kay Beauty,Kay Beauty Products Online,Kay Beauty Creaseless Undereye Look With HD Liquid Concealer & Loose Powder,1598,1358,4.5,1499,2022_popular_brands,,,,
2783916,Kay Beauty,Kay Beauty Products Online,Glam Time With Kay Beauty Waterproof 24 Hour Kajal & Long Stay Matte Lipstick - Suspense,1248,1098,4.5,14796,2022_popular_brands,,,,
2783923,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Action Lip Liner - Hype With Sharpener,749,749,4.2,445,2022_popular_brands,,,,
3772420,Kay Beauty,Kay Beauty Products Online,Katrina's Drama Eye Look - Kay Beauty Metallic Eyeshadow Stick & 24 Hr Kajal,848,763,4.5,14798,2022_popular_brands,,,,
3772402,Kay Beauty,Kay Beauty Products Online,"Katrina's Soft Glam Look - Kay Beauty Matte Lip Crayon, 24 Hr Kajal & Nail Polish",1273,1082,4.5,14807,2022_popular_brands,,,,
2693044,Kay Beauty,Kay Beauty Products Online,The Girl Crush Combo,3396,2717,4.5,16565,2022_popular_brands,,,,
5738811,Kay Beauty,Kay Beauty Products Online,Kay Beauty Camera Ready Base BFF's - HD Liquid Colour Corrector + HD Liquid Concealer,1598,1358,4.7,7,2022_popular_brands,,,,
3772425,Kay Beauty,Kay Beauty Products Online,Nail Your Look - Kay Beauty Nail Polishes,900,675,4.8,5,2022_popular_brands,,,,
6599372,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gold Rush Combo - Gel Eye Pencils In Gold & Rose Gold,1198,1018,4.5,2,2022_popular_brands,,,,
3772409,Kay Beauty,Kay Beauty Products Online,"Katrina's Day Look - Matte Lipstick, 24 Hr Kajal & Nail Polish",1473,1178,4.5,14797,2022_popular_brands,,,,
6599383,Kay Beauty,Kay Beauty Products Online,Kay Beauty Katrina's Fave Eyeliner Combo,998,923,5,1,2022_popular_brands,,,,
3772417,Kay Beauty,Kay Beauty Products Online,Katrina's Go-Tos - Kay Beauty 24 Hr Kajal & Matte Compact,1048,943,4.5,14795,2022_popular_brands,,,,
6510485,Kay Beauty,Kay Beauty Products Online,Katrina's Go-to Makeup Kit,1523,1409,4.2,11,2022_popular_brands,,,,
5738819,Kay Beauty,Kay Beauty Products Online,Kay Beauty High Definition Base Duo - HD Liquid Colour Corrector + Contour Stick,1398,1188,4.4,12,2022_popular_brands,,,,
3772424,Kay Beauty,Kay Beauty Products Online,Kay Beauty Set The Perfect Base Combo - Kay Beauty Hydrating Foundation & Matte Compact,1999,1499,5,7,2022_popular_brands,,,,
3772401,Kay Beauty,Kay Beauty Products Online,Katrina's Natural Day Look - Kay Beauty Matte Lip Crayon & Liquid Eyeliner,1298,1038,4.7,21,2022_popular_brands,,,,
4970781,Kay Beauty,Kay Beauty Products Online,Kay Beauty Glitter Pastel Bestseller Combo With Kay Beauty Nail Enamel Nail Polish,498,374,5,3,2022_popular_brands,,,,
3772400,Kay Beauty,Kay Beauty Products Online,Katrina's Klassic Look - Kay Beauty Matte Lip Crayon & 24 Hr Kajal,1048,891,4.5,14801,2022_popular_brands,,,,
6599374,Kay Beauty,Kay Beauty Products Online,Kay Beauty Cocktail Hour Combo - Gel Eye Pencils In Gold & Olive,1198,1018,3,4,2022_popular_brands,,,,
2809497,Kay Beauty,Kay Beauty Products Online,Kay Beauty Pastel Perfection Nail Enamel Combo,450,360,2.7,7,2022_popular_brands,,,,
6599371,Kay Beauty,Kay Beauty Products Online,Kay Beauty Bedazzle Away Combo - Gel Eye Pencils In Silver & Olive,1198,1018,5,1,2022_popular_brands,,,,
2809494,Kay Beauty,Kay Beauty Products Online,Kay Beauty Let Your Tips Talk Nail Enamel Combo,450,383,4.7,11,2022_popular_brands,,,,
3772411,Kay Beauty,Kay Beauty Products Online,"Kat's GNO Look with Kay Beauty Matte Lipstick, Liquid Eyeliner & 24 Hr Kajal",1747,1398,4.5,14798,2022_popular_brands,,,,
2783914,Kay Beauty,Kay Beauty Products Online,Kay Beauty Go-to Lash & Brow Combo - Ultra Black Volume & Length Mascara & Eyebrow Pencil - Walnut,1398,1158,4.5,1764,2022_popular_brands,,,,
6599375,Kay Beauty,Kay Beauty Products Online,Kay Beauty Shine On Combo - Gel Eye Pencils In Bronze & Green,1198,1018,4,1,2022_popular_brands,,,,
3772408,Kay Beauty,Kay Beauty Products Online,Kat's Bold Night Look - Kay Beauty Matte Lipstick & Liquid Eyeliner,1498,1273,4,6,2022_popular_brands,,,,
3772419,Kay Beauty,Kay Beauty Products Online,Katrina's Makeup Essentials - Kay Beauty Matte Lipstick & Nail Polish,1224,979,5,2,2022_popular_brands,,,,
4970782,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail It With Kay Beauty Nail Enamel Nail Polish,474,356,0,0,2022_popular_brands,,,,
3772421,Kay Beauty,Kay Beauty Products Online,Katrina's Sultry Eyes Look - Kay Beauty Matte Eyeshadow Stick & 24 Hr Kajal,848,763,4.5,14795,2022_popular_brands,,,,
6599378,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Rose Gold) & Pencil Sharpener Combo,798,768,4.2,443,2022_popular_brands,,,,
2809489,Kay Beauty,Kay Beauty Products Online,Kay Beauty Manicure Must Haves Nail Enamel Combo,675,574,5,2,2022_popular_brands,,,,
4519302,Kay Beauty,Kay Beauty Products Online,Kay Beauty Seamless Coverage with HD Liquid Concealer & Matte Compact,1598,1358,5,1,2022_popular_brands,,,,
2809498,Kay Beauty,Kay Beauty Products Online,Kay Beauty Quick Drying Nail Emamel Combo - Sun Glory & Code Red,450,338,4.5,2,2022_popular_brands,,,,
2783917,Kay Beauty,Kay Beauty Products Online,The Ultimate Nude Duo - Kay Beauty Long Stay Matte Lipstick - Debut & Nail Enamel - Nutty 21,1224,1102,4,2,2022_popular_brands,,,,
4519293,Kay Beauty,Kay Beauty Products Online,"Kay Beauty Effortlessly Glam Look with HD Liquid Concealer, Contour Stick & 24 Hr Kajal",1647,1400,4.5,14830,2022_popular_brands,,,,
2809495,Kay Beauty,Kay Beauty Products Online,Kay Beauty Bare Essentials Nail Enamel Combo,450,360,4.8,5,2022_popular_brands,,,,
2693043,Kay Beauty,Kay Beauty Products Online,Bridesmaids Essentials Combo,3495,2796,4.5,1768,2022_popular_brands,,,,
6599381,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Green) & Pencil Sharpener Combo,798,768,4.2,440,2022_popular_brands,,,,
4519296,Kay Beauty,Kay Beauty Products Online,Kay Beauty Flawless Base Combo With Color Correcting Stick & HD Liquid Concealer,1398,1188,5,2,2022_popular_brands,,,,
2783921,Kay Beauty,Kay Beauty Products Online,Kay Beauty Quick Dry Liquid Eyeliner Combo - Black Canvas & Bespoke Blue,998,898,5,3,2022_popular_brands,,,,
3621136,Kay Beauty,Kay Beauty Products Online,Glam Time With Kay Beauty Matte Lipsticks - Flashback & House Full,1998,1598,4.6,5,2022_popular_brands,,,,
6599380,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Blue) & Pencil Sharpener Combo,798,768,4.2,441,2022_popular_brands,,,,
2783918,Kay Beauty,Kay Beauty Products Online,Kay Beauty Party Ready Lip & Nail Combo,1224,990,4.7,3,2022_popular_brands,,,,
2783909,Kay Beauty,Kay Beauty Products Online,Kay Beauty Lip & Lash Duo,1798,1528,4.5,1763,2022_popular_brands,,,,
2662790,Kay Beauty,Kay Beauty Products Online,Kay Beauty Set Your Base MakeUp Combo,1999,1699,5,5,2022_popular_brands,,,,
2662792,Kay Beauty,Kay Beauty Products Online,Kay Beauty Mask Proof MakeUp Combo,2798,2238,4.8,9,2022_popular_brands,,,,
6599379,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Bronze) & Pencil Sharpener Combo,798,768,4.2,441,2022_popular_brands,,,,
3772418,Kay Beauty,Kay Beauty Products Online,"Kat's After Hours Look - Kay Beauty Nail Polish, 24 Hr Kajal & Matte Compact",1273,1082,4.5,14795,2022_popular_brands,,,,
2783915,Kay Beauty,Kay Beauty Products Online,Sculpt & Glow With Kay Beauty Contour Stick & Highlighter Combo,1398,1218,4.4,13,2022_popular_brands,,,,
3772423,Kay Beauty,Kay Beauty Products Online,Bare Necessities Combo - Kay beauty Liquid Eyeliner & Matte Compact,1298,1103,4.8,4,2022_popular_brands,,,,
6599376,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Silver) & Pencil Sharpener Combo,798,768,4.2,440,2022_popular_brands,,,,
3621134,Kay Beauty,Kay Beauty Products Online,Contour Your Lips With Kay Beauty Lip Liner - Applause & Matte Lipstick - Teaser,1549,1394,4.8,5,2022_popular_brands,,,,
2783920,Kay Beauty,Kay Beauty Products Online,Kay Beauty Glam Eye Look - Metallic Eyeshadow Stick & Quick Dry Liquid Eyeliner,1098,1008,4,4,2022_popular_brands,,,,
2783922,Kay Beauty,Kay Beauty Products Online,Kay Beauty Metallic Eyeshadow Stick - Bare Metal With Sharpener,824,824,4.3,494,2022_popular_brands,,,,
6599377,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil (Gold) & Pencil Sharpener Combo,798,768,4.2,440,2022_popular_brands,,,,
3772410,Kay Beauty,Kay Beauty Products Online,"Katrina's Natural But Glam Look - Kay Beauty Matte Lipstick, Liquid Eyeliner & Nail Polsh",1723,1378,5,3,2022_popular_brands,,,,
4519291,Kay Beauty,Kay Beauty Products Online,Kay Beauty Prep & Perfect Your Base With Primer & HD Liquid Concealer,1598,1358,5,1,2022_popular_brands,,,,
2809493,Kay Beauty,Kay Beauty Products Online,Kay Beauty Paint Your Mood Nail Enamel Combo,675,506,3.8,4,2022_popular_brands,,,,
2693041,Kay Beauty,Kay Beauty Products Online,Glow As You Go Combo,4094,3480,4.5,1778,2022_popular_brands,,,,
4519300,Kay Beauty,Kay Beauty Products Online,Kay Beauty Seamless Under Eyes with Color Correcting Stick & HD Liquid Concealer,1398,1188,5,1,2022_popular_brands,,,,
3621135,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Lips Combo - Lip Crayon - Wee Hours & Matte Lipstick - Backstage,1798,1438,4,6,2022_popular_brands,,,,
2693046,Kay Beauty,Kay Beauty Products Online,Kay Beauty Classics Combo,2446,1957,4.5,14799,2022_popular_brands,,,,
